Shapefile; Symbologie; Farbe; Linienbreite; Pattern; Symbolname
Gis FG Leitungsabschnitt Stationierungslinie (Bauphase).shp;Standort 0;0,105,255;1;1;-
Gis FG Leitungsabschnitt Stationierungslinie (Bauphase).shp;Standort 1;0,0,0;1;1;-
Gis FG Leitungsabschnitt Stationierungslinie (Bauphase).shp;Standort 2;255,0,0;1;1;-
Gis FG Leitungsabschnitt Stationierungslinie (Bauphase).shp;Standort 3;0,0,0;1;20_10;-
Gis FG Leitungsabschnitt Stationierungslinie (Bauphase).shp;Standort 4;0,28,178;1;1;-
Gis FG Leitungsabschnitt Stationierungslinie (Bauphase).shp;Standort 5;0,28,178;1;20_10;-
Gis FG Leitungsabschnitt Stationierungslinie (Bauphase).shp;Standort 6;255,0,0;1;1;-
Gis FG Leitungsabschnitt Stationierungslinie (Bauphase).shp;Standort 7;255,0,0;1;1;-
Gis FG Leitungsabschnitt Stationierungslinie (Bauphase).shp;Standort 8;0,0,0;1;1;-
Gis FG Leitungsabschnitt Stationierungslinie (Bauphase).shp;Standort 9;0,0,0;1;20_10;-
Gis FG Leitungsabschnitt Stationierungslinie (Bauphase).shp;Standort 10;0,0,0;2;20_10;-
Gis FG Leitungsabschnitt Stationierungslinie (Bauphase).shp;Standort 11;0,0,0;1;1;-
Gis FG Leitungsabschnitt Stationierungslinie (Bauphase).shp;Standort 12;255,0,0;1;1;-
Gis FG Leitungsabschnitt Stationierungslinie (Bauphase).shp;Standort 13;0,0,0;1;20_10;-
Gis FG Leitungsabschnitt Stationierungslinie (Bauphase).shp;Standort 14;0,201,255;1;1;-
Gis FG Leitungsabschnitt Stationierungslinie (Bauphase).shp;Standort 15;255,0,0;1;1;-
Gis FG Leitungsabschnitt Stationierungslinie (Bauphase).shp;Standort 16;255,0,0;1;1;-
Gis FG Leitungsabschnitt Stationierungslinie (Bauphase).shp;Standort 17;0,28,178;1;1;-
Gis FG Leitungsabschnitt Stationierungslinie (Bauphase).shp;Standort 18;0,28,178;1;20_10;-
Gis FG Leitungsabschnitt Stationierungslinie (Bauphase).shp;Standort 19;0,201,255;1;1;-
Gis FG Leitungsabschnitt Stationierungslinie (Bauphase).shp;Standort 20;0,201,255;1;1;-
Gis FG Leitungsabschnitt Stationierungslinie (Bauphase).shp;Standort 21;0,0,0;1;1;-
Gis FG Leitungsabschnitt Stationierungslinie (Bauphase).shp;Standort 22;255,0,0;1;1;-
Gis FG Leitungsabschnitt Stationierungslinie (Bauphase).shp;Standort 23;0,0,0;1;20_10;-
Gis FG Leitungsabschnitt Stationierungslinie (Bauphase).shp;Standort 24;0,0,0;1;1;-
Gis FG Leitungsabschnitt Stationierungslinie (Bauphase).shp;Standort 25;0,201,255;1;1;-
Gis FG Leitungsabschnitt Stationierungslinie (Bauphase).shp;Standort 26;0,201,255;1;1;-
Gis FG Leitungsabschnitt Stationierungslinie (Bauphase).shp;Standort 27;255,0,0;1;1;-
Gis FG Leitungsabschnitt Stationierungslinie (Bauphase).shp;Standort 28;0,15,102;1;1;-
Gis FG Leitungsabschnitt Stationierungslinie (Bauphase).shp;Standort 29;0,102,0;1;8_8;-
Gis FG Leitungsabschnitt Stationierungslinie (Bauphase).shp;Speicher 0;0,105,255;1;1;-
Gis FG Leitungsabschnitt Stationierungslinie (Bauphase).shp;Speicher 1;0,0,0;1;1;-
Gis FG Leitungsabschnitt Stationierungslinie (Bauphase).shp;Speicher 2;255,0,0;1;1;-
Gis FG Leitungsabschnitt Stationierungslinie (Bauphase).shp;Speicher 3;0,0,0;1;20_10;-
Gis FG Leitungsabschnitt Stationierungslinie (Bauphase).shp;Speicher 4;0,28,178;1;1;-
