DATAFLOW,LAST UPDATE,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,AT11,2021,28100,
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,AT12,2021,33600,
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,AT13,2021,46500,
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,AT21,2021,35300,
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,AT22,2021,36200,
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,AT31,2021,40900,
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,AT32,2021,46700,
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,AT33,2021,39800,
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,AT34,2021,45300,
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,BE10,2021,66200,p
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,BE21,2021,46900,p
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,BE22,2021,32300,p
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,BE23,2021,36300,p
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,BE24,2021,39800,p
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,BE25,2021,39000,p
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,BE31,2021,46500,p
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,BE32,2021,24600,p
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,BE33,2021,28000,p
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,BE34,2021,24200,p
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,BE35,2021,26300,p
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,BG31,2021,12800,
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,BG32,2021,12800,
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,BG33,2021,14000,
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,BG34,2021,14600,
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,BG41,2021,31100,
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,BG42,2021,12300,
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,CY00,2021,29400,p
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,CZ01,2021,65800,
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,CZ02,2021,25700,
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,CZ03,2021,24900,
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,CZ04,2021,19800,
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,CZ05,2021,24400,
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,CZ06,2021,27700,
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,CZ07,2021,24400,
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,CZ08,2021,23600,
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,DE11,2021,49500,e
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,DE12,2021,42400,e
ESTAT:TGS00005(1.0),21/02/23 23:00:00,A,PPS_EU27_2020_HAB,DE13,2021,37000,e
